"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","21-Oct-2021","       2700.40","       2727.40","       2728.00","       2603.20","       2635.00","       2622.50","       2642.91","    9613812","         25408416389.20","     356400","    6238985","         64.90"
"RELIANCE","EQ","22-Oct-2021","       2622.50","       2620.00","       2664.90","       2611.50","       2625.75","       2627.40","       2635.21","    5089178","         13411067863.00","     209472","    2398678","         47.13"
"RELIANCE","EQ","25-Oct-2021","       2627.40","       2680.00","       2680.00","       2570.00","       2607.00","       2601.80","       2611.17","    7937067","         20725006859.30","     317548","    2950789","         37.18"
"RELIANCE","EQ","26-Oct-2021","       2601.80","       2617.10","       2668.90","       2603.15","       2666.30","       2661.05","       2635.70","    4499706","         11859859536.85","     199021","    2113316","         46.97"
"RELIANCE","EQ","27-Oct-2021","       2661.05","       2652.00","       2676.80","       2619.95","       2622.30","       2627.40","       2652.28","    4567140","         12113330049.05","     176020","    2090011","         45.76"
"RELIANCE","EQ","28-Oct-2021","       2627.40","       2620.00","       2637.95","       2590.50","       2598.00","       2598.60","       2610.69","    4562471","         11911187008.75","     170822","    2460989","         53.94"
"RELIANCE","EQ","29-Oct-2021","       2598.60","       2596.15","       2596.15","       2501.70","       2540.00","       2536.25","       2548.04","    6568539","         16736893522.25","     277855","    3111491","         47.37"
"RELIANCE","EQ","01-Nov-2021","       2536.25","       2536.25","       2556.00","       2494.10","       2538.10","       2537.80","       2523.59","    7144532","         18029885097.90","     273829","    4144630","         58.01"
"RELIANCE","EQ","02-Nov-2021","       2537.80","       2545.00","       2548.00","       2495.25","       2503.05","       2500.80","       2510.10","    4877652","         12243384395.60","     225933","    2997092","         61.45"
"RELIANCE","EQ","03-Nov-2021","       2500.80","       2506.05","       2520.00","       2461.00","       2483.00","       2483.60","       2487.70","    5533120","         13764733320.45","     240878","    3207104","         57.96"
"RELIANCE","EQ","04-Nov-2021","       2483.60","       2492.95","       2504.90","       2490.00","       2503.00","       2498.85","       2497.33","     787160","          1965800892.45","      63285","     402932","         51.19"
"RELIANCE","EQ","08-Nov-2021","       2498.85","       2519.40","       2520.00","       2456.40","       2502.90","       2501.95","       2483.27","    9385607","         23306981380.10","     456493","    6743994","         71.85"
"RELIANCE","EQ","09-Nov-2021","       2501.95","       2505.00","       2528.90","       2487.05","       2528.60","       2521.70","       2508.11","    7237470","         18152375051.00","     205289","    4623106","         63.88"
"RELIANCE","EQ","10-Nov-2021","       2521.70","       2516.70","       2558.00","       2503.65","       2546.45","       2549.90","       2538.63","    4731975","         12012742203.00","     168600","    2429050","         51.33"
"RELIANCE","EQ","11-Nov-2021","       2549.90","       2540.05","       2570.50","       2535.55","       2556.00","       2554.55","       2551.89","    4948422","         12627828736.25","     216865","    2846346","         57.52"
"RELIANCE","EQ","12-Nov-2021","       2554.55","       2562.90","       2598.75","       2557.00","       2588.00","       2593.10","       2582.61","    4020744","         10384009844.25","     149602","    2336224","         58.10"
"RELIANCE","EQ","15-Nov-2021","       2593.10","       2600.00","       2602.20","       2570.00","       2574.50","       2577.80","       2581.57","    2216708","          5722594256.70","     107475","    1054022","         47.55"
"RELIANCE","EQ","16-Nov-2021","       2577.80","       2572.05","       2575.00","       2495.00","       2497.25","       2517.90","       2536.01","    5232292","         13269127406.10","     209557","    2660951","         50.86"
"RELIANCE","EQ","17-Nov-2021","       2517.90","       2498.95","       2498.95","       2461.00","       2462.80","       2464.00","       2479.92","    4708235","         11676042764.70","     240722","    2537105","         53.89"
"RELIANCE","EQ","18-Nov-2021","       2464.00","       2460.00","       2489.00","       2450.05","       2473.00","       2473.30","       2467.65","    3925345","          9686386834.65","     218820","    1573249","         40.08"
"RELIANCE","EQ","22-Nov-2021","       2473.30","       2436.10","       2449.00","       2351.00","       2365.65","       2363.75","       2380.24","   11133364","         26500112857.50","     469744","    6257212","         56.20"
"RELIANCE","EQ","23-Nov-2021","       2363.75","       2333.05","       2401.25","       2309.00","       2389.95","       2385.85","       2362.47","   11688406","         27613501135.60","     393864","    7161105","         61.27"
"RELIANCE","EQ","24-Nov-2021","       2385.85","       2380.00","       2409.90","       2343.55","       2343.55","       2351.40","       2376.12","    7762564","         18444768823.80","     291051","    4345352","         55.98"
"RELIANCE","EQ","25-Nov-2021","       2351.40","       2373.00","       2502.00","       2357.15","       2501.00","       2492.95","       2452.67","   19568487","         47994998310.55","     497536","    9245255","         47.25"
"RELIANCE","EQ","26-Nov-2021","       2492.95","       2467.80","       2477.60","       2401.50","       2405.10","       2412.60","       2433.36","    7274686","         17701896486.35","     306992","    2921250","         40.16"
"RELIANCE","EQ","29-Nov-2021","       2412.60","       2439.10","       2500.00","       2399.10","       2437.70","       2441.50","       2464.20","   11226147","         27663493598.00","     375905","    4117378","         36.68"
"RELIANCE","EQ","30-Nov-2021","       2441.50","       2468.00","       2475.90","       2388.85","       2401.20","       2405.40","       2424.91","   14847511","         36003821297.30","     381257","    8601779","         57.93"
"RELIANCE","EQ","01-Dec-2021","       2405.40","       2433.00","       2474.00","       2425.10","       2467.75","       2467.00","       2449.60","    4663276","         11423147561.65","     202787","    1687324","         36.18"
"RELIANCE","EQ","02-Dec-2021","       2467.00","       2469.70","       2496.20","       2461.60","       2481.95","       2482.85","       2482.51","    5870468","         14573515872.05","     248052","    3156679","         53.77"
"RELIANCE","EQ","03-Dec-2021","       2482.85","       2498.40","       2498.50","       2400.00","       2413.15","       2408.25","       2436.10","    8871172","         21611045769.40","     283259","    4898098","         55.21"
"RELIANCE","EQ","06-Dec-2021","       2408.25","       2416.00","       2425.00","       2357.15","       2365.95","       2362.60","       2388.06","    4768334","         11387071064.70","     210176","    1750877","         36.72"
"RELIANCE","EQ","07-Dec-2021","       2362.60","       2376.15","       2404.00","       2360.00","       2382.00","       2381.85","       2387.87","    5185007","         12381107849.30","     233720","    2782548","         53.67"
"RELIANCE","EQ","08-Dec-2021","       2381.85","       2424.10","       2431.80","       2406.30","       2420.95","       2418.10","       2418.81","    4035437","          9760953632.95","     175071","    1712929","         42.45"
"RELIANCE","EQ","09-Dec-2021","       2418.10","       2435.00","       2474.90","       2425.00","       2453.00","       2456.45","       2453.15","    6098050","         14959457280.85","     248350","    2655912","         43.55"
"RELIANCE","EQ","10-Dec-2021","       2456.45","       2440.25","       2466.00","       2430.35","       2457.25","       2458.95","       2443.62","    3860176","          9432810632.75","     177038","    1988951","         51.52"
"RELIANCE","EQ","13-Dec-2021","       2458.95","       2473.50","       2474.10","       2404.00","       2411.45","       2409.65","       2425.30","    5954148","         14440614208.20","     240510","    3289988","         55.26"
"RELIANCE","EQ","14-Dec-2021","       2409.65","       2380.00","       2406.00","       2373.40","       2382.50","       2380.15","       2386.78","    5995586","         14310134060.60","     248926","    3370468","         56.22"
"RELIANCE","EQ","15-Dec-2021","       2380.15","       2384.00","       2405.00","       2361.10","       2369.90","       2373.20","       2379.84","    4322855","         10287701638.50","     199178","    1991411","         46.07"
"RELIANCE","EQ","16-Dec-2021","       2373.20","       2405.70","       2415.50","       2368.65","       2413.95","       2403.90","       2392.29","    4504829","         10776855117.15","     187830","    2041248","         45.31"
"RELIANCE","EQ","17-Dec-2021","       2403.90","       2398.05","       2408.00","       2320.00","       2343.40","       2340.45","       2346.72","    9714489","         22797150333.50","     301459","    5156114","         53.08"
"RELIANCE","EQ","20-Dec-2021","       2340.45","       2317.85","       2317.85","       2247.10","       2276.80","       2277.35","       2277.67","    6611376","         15058513385.60","     331211","    3744186","         56.63"
"RELIANCE","EQ","21-Dec-2021","       2277.35","       2311.35","       2346.00","       2292.20","       2313.00","       2311.25","       2317.69","    5924071","         13730177504.20","     241858","    2954613","         49.87"
"RELIANCE","EQ","22-Dec-2021","       2311.25","       2324.90","       2371.90","       2322.00","       2365.00","       2366.10","       2346.81","    8149415","         19125125458.70","     222615","    5325994","         65.35"
"RELIANCE","EQ","23-Dec-2021","       2366.10","       2374.00","       2380.00","       2358.05","       2365.00","       2365.25","       2367.28","    4186912","          9911598013.55","     173393","    2364993","         56.49"
"RELIANCE","EQ","24-Dec-2021","       2365.25","       2370.00","       2392.00","       2337.55","       2367.15","       2372.80","       2360.96","    3639616","          8592980567.85","     159321","    1160672","         31.89"
"RELIANCE","EQ","27-Dec-2021","       2372.80","       2361.55","       2378.00","       2348.10","       2371.00","       2370.25","       2366.87","    1853948","          4388054040.05","      89509","     532328","         28.71"
"RELIANCE","EQ","28-Dec-2021","       2370.25","       2375.60","       2404.85","       2373.05","       2404.00","       2398.40","       2389.02","    2941883","          7028226280.45","     121810","    1230092","         41.81"
"RELIANCE","EQ","29-Dec-2021","       2398.40","       2391.00","       2419.00","       2382.10","       2398.00","       2402.50","       2400.08","    7118779","         17085610789.25","     169024","    4190091","         58.86"
"RELIANCE","EQ","30-Dec-2021","       2402.50","       2400.00","       2404.95","       2345.60","       2364.00","       2359.10","       2366.88","   13537254","         32041015240.70","     226181","    7709766","         56.95"
"RELIANCE","EQ","31-Dec-2021","       2359.10","       2373.00","       2383.90","       2360.00","       2368.50","       2368.15","       2370.53","    4373768","         10368136137.70","     138728","    2109083","         48.22"
"RELIANCE","EQ","03-Jan-2022","       2368.15","       2365.00","       2407.95","       2363.55","       2407.95","       2403.85","       2392.64","    2502073","          5986568510.10","     105190","    1082865","         43.28"
"RELIANCE","EQ","04-Jan-2022","       2403.85","       2415.90","       2461.00","       2404.00","       2460.00","       2458.10","       2437.26","    5006225","         12201491701.65","     208647","    2421857","         48.38"
"RELIANCE","EQ","05-Jan-2022","       2458.10","       2462.00","       2477.00","       2432.95","       2461.85","       2469.60","       2455.69","    5373618","         13195934862.50","     210976","    2963957","         55.16"
